Name,State,State_ID,Latitude,Longitude,Population,Density,Timezone,join_key
Marthas Vineyard,Massachusetts,MA,41.3805,-70.6118,17000,150.0,America/New_York,MARTHAS VINEYARD_MA
McAllen,Texas,TX,262.273,-982.471,804114,841.0,America/Chicago,MCALLEN_TX
Medellín,Colombia,CO,6.2442,-75.5812,2500000,6000.0,America/Bogota,MEDELLÍN_CO
Medford,Oregon,OR,423.372,-1.228.537,170876,1243.0,America/Los_Angeles,MEDFORD_OR
Melbourne,Florida,FL,281.085,-806.627,83029,727.0,America/New_York,MELBOURNE_FL
Memphis,Tennessee,TN,351.046,-899.773,1066967,792.0,America/Chicago,MEMPHIS_TN
Meridian,Mississippi,MS,323.846,-886.896,36686,261.0,America/Chicago,MERIDIAN_MS
Mexico City,Mexico City,CMX,194.326,-991.332,21804000,6000.0,America/Mexico_City,MEXICO CITY_CMX
Miami,Florida,FL,257.839,-802.102,6445545,5019.0,America/New_York,MIAMI_FL
Midland,Texas,TX,320.249,-1.021.137,154793,758.0,America/Chicago,MIDLAND_TX
Milwaukee,Wisconsin,WI,430.642,-879.673,1365787,2369.0,America/Chicago,MILWAUKEE_WI
Minneapolis,Minnesota,MN,449.635,-932.678,2977172,3071.0,America/Chicago,MINNEAPOLIS_MN
Minot,North Dakota,ND,482.375,-1.012.781,49425,671.0,America/Chicago,MINOT_ND
Missoula,Montana,MT,46.875,-1.140.214,92895,845.0,America/Denver,MISSOULA_MT
Moab,Utah,UT,385.701,-1.095.477,7278,429.0,America/Denver,MOAB_UT
Mobile,Alabama,AL,306.783,-881.162,315502,522.0,America/Chicago,MOBILE_AL
Moline,Illinois,IL,414.821,-904.921,41356,953.0,America/Chicago,MOLINE_IL
Monroe,Louisiana,LA,325.183,-920.774,112891,623.0,America/Chicago,MONROE_LA
Monterey,California,CA,365.922,-1.218.807,28178,1259.0,America/Los_Angeles,MONTEREY_CA
Montgomery,Alabama,AL,323.473,-862.666,254634,479.0,America/Chicago,MONTGOMERY_AL
Montreal,Quebec,QC,455.017,-735.673,4247000,4517.0,America/Montreal,MONTREAL_QC
Montrose,Colorado,CO,38.469,-107.859,23478,413.0,America/Denver,MONTROSE_CO
Mosinee,Wisconsin,WI,447.874,-896.839,4072,200.0,America/Chicago,MOSINEE_WI
Muskegon,Michigan,MI,432.281,-862.563,153565,998.0,America/Detroit,MUSKEGON_MI
Myrtle Beach,South Carolina,SC,337.096,-788.843,275579,568.0,America/New_York,MYRTLE BEACH_SC
Nantucket,Massachusetts,MA,41.2835,-70.0995,14255,120.0,America/New_York,NANTUCKET_MA
Nashville,Tennessee,TN,361.715,-867.843,1081903,544.0,America/Chicago,NASHVILLE_TN
New Bern,North Carolina,NC,350.955,-770.723,51308,409.0,America/New_York,NEW BERN_NC
New Orleans,Louisiana,LA,300.687,-899.288,1020886,889.0,America/Chicago,NEW ORLEANS_LA
New York,New York,NY,406.943,-739.249,18713220,10715.0,America/New_York,NEW YORK_NY
Newark,New Jersey,NJ,407.245,-741.725,282011,4509.0,America/New_York,NEWARK_NJ
Newburgh,New York,NY,41.5034,-74.0104,28000,2500.0,America/New_York,NEWBURGH_NY
Newport News,Virginia,VA,371.051,-765.185,179225,1002.0,America/New_York,NEWPORT NEWS_VA
Niagara Falls,New York,NY,430.921,-790.147,47720,1308.0,America/Toronto,NIAGARA FALLS_NY
Nome,Alaska,AK,645.213,-1.654.053,3870,116.0,America/Nome,NOME_AK
Norfolk,Virginia,VA,368.945,-76.259,242742,1759.0,America/New_York,NORFOLK_VA
North Bend,Oregon,OR,434.075,-1.242.364,9768,959.0,America/Los_Angeles,NORTH BEND_OR
Oakland,California,CA,377.903,-1.222.165,433031,2991.0,America/Los_Angeles,OAKLAND_CA
Oklahoma City,Oklahoma,OK,354.676,-975.136,972943,417.0,America/Chicago,OKLAHOMA CITY_OK
Omaha,Nebraska,NE,412.627,-960.522,847819,1309.0,America/Chicago,OMAHA_NE
Ontario,California,CA,340.393,-1.176.064,185010,1429.0,America/Los_Angeles,ONTARIO_CA
Orlando,Florida,FL,284.772,-813.369,1822394,1003.0,America/New_York,ORLANDO_FL
Paducah,Kentucky,KY,370.711,-886.436,48481,475.0,America/Chicago,PADUCAH_KY
Pago Pago,American Samoa,AS,-14.2794,-170.7005,3600,200.0,Pacific/Pago_Pago,PAGO PAGO_AS
Palm Springs,California,CA,338.017,-1.165.382,48518,198.0,America/Los_Angeles,PALM SPRINGS_CA
Panama City,Florida,FL,301.995,-856.004,136133,382.0,America/Chicago,PANAMA CITY_FL
Paris,Île-de-France,FR,488.566,23.522,11020000,20000.0,Europe/Paris,PARIS_FR
Pasco,Washington,WA,462.506,-1.191.304,75432,858.0,America/Los_Angeles,PASCO_WA
Pellston,Michigan,MI,455.519,-84.783,843,166.0,America/Detroit,PELLSTON_MI
Pensacola,Florida,FL,304.427,-871.886,346921,903.0,America/Chicago,PENSACOLA_FL
Peoria,Illinois,IL,40.752,-896.153,256286,888.0,America/Chicago,PEORIA_IL
Petersburg,Alaska,AK,567.566,-1.328.727,3136,27.0,America/Sitka,PETERSBURG_AK
Philadelphia,Pennsylvania,PA,400.077,-751.339,5649300,4554.0,America/New_York,PHILADELPHIA_PA
Phoenix,Arizona,AZ,335.722,-1.120.891,4219697,1253.0,America/Phoenix,PHOENIX_AZ
Pittsburgh,Pennsylvania,PA,404.396,-799.762,1703266,2093.0,America/New_York,PITTSBURGH_PA
