Name,State,State_ID,Latitude,Longitude,Population,Density,Timezone,join_key
Cleveland,Ohio,OH,414.767,-816.804,1710093,1893.0,America/New_York,CLEVELAND_OH
Cody,Wyoming,WY,445.212,-1.090.549,9788,369.0,America/Denver,CODY_WY
College Station,Texas,TX,305.852,-96.296,215243,890.0,America/Chicago,COLLEGE STATION_TX
Colorado Springs,Colorado,CO,388.674,-1.047.606,642413,946.0,America/Denver,COLORADO SPRINGS_CO
Columbia,South Carolina,SC,340.376,-809.037,560041,373.0,America/New_York,COLUMBIA_SC
Columbia,Missouri,MO,38.9517,-92.3341,126254,747.0,America/Chicago,COLUMBIA_MO
Columbus,Georgia,GA,32.461,-84.9877,206922,360.0,America/New_York,COLUMBUS_GA
Columbus,Ohio,OH,399.862,-82.985,1562009,1582.0,America/New_York,COLUMBUS_OH
Columbus-Starkville-West Point,Mississippi,MS,33.4504,-88.5804,60000,200.0,America/Chicago,COLUMBUS-STARKVILLE-WEST POINT_MS
Cordova,Alaska,AK,605.348,-1.456.092,2169,13.0,America/Anchorage,CORDOVA_AK
Corpus Christi,Texas,TX,27.726,-973.755,342464,789.0,America/Chicago,CORPUS CHRISTI_TX
Covington,Kentucky,KY,390.334,-845.166,40341,1180.0,America/New_York,COVINGTON_KY
Crescent City,California,CA,417.727,-1.241.902,16849,1334.0,America/Los_Angeles,CRESCENT CITY_CA
Dallas,Texas,TX,327.936,-967.662,5743938,1526.0,America/Chicago,DALLAS_TX
Dallas-Fort Worth,Texas,TX,32.8998,-97.0403,7500000,1500.0,America/Chicago,DALLAS-FORT WORTH_TX
Dayton,Ohio,OH,397.797,-841.998,718353,978.0,America/New_York,DAYTON_OH
Daytona Beach,Florida,FL,291.994,-810.982,69186,406.0,America/New_York,DAYTONA BEACH_FL
Deadhorse,Alaska,AK,70.2002,-148.4597,50,1.0,America/Anchorage,DEADHORSE_AK
Denver,Colorado,CO,397.621,-1.048.759,2876625,1831.0,America/Denver,DENVER_CO
Des Moines,Iowa,IA,415.725,-936.105,473957,938.0,America/Chicago,DES MOINES_IA
Detroit,Michigan,MI,423.834,-831.024,3506126,1864.0,America/Detroit,DETROIT_MI
Devils Lake,North Dakota,ND,481.131,-98.875,7631,408.0,America/Chicago,DEVILS LAKE_ND
Dickinson,North Dakota,ND,468.917,-1.027.924,23133,631.0,America/Denver,DICKINSON_ND
Dillingham,Alaska,AK,59.055,-1.585.379,2360,27.0,America/Anchorage,DILLINGHAM_AK
Dothan,Alabama,AL,312.335,-854.069,72396,296.0,America/Chicago,DOTHAN_AL
Dubai,Dubai,DU,252.048,552.708,3331420,860.0,Asia/Dubai,DUBAI_DU
Dubuque,Iowa,IA,425.008,-907.067,68109,729.0,America/Chicago,DUBUQUE_IA
Duluth,Minnesota,MN,467.756,-921.392,119476,461.0,America/Chicago,DULUTH_MN
Durango,Colorado,CO,372.659,-1.078.782,20203,498.0,America/Denver,DURANGO_CO
Eagle,Colorado,CO,396.368,-1.068.123,6986,478.0,America/Denver,EAGLE_CO
Eau Claire,Wisconsin,WI,448.199,-914.949,107404,812.0,America/Chicago,EAU CLAIRE_WI
El Paso,Texas,TX,318.479,-1.064.309,843386,1022.0,America/Denver,EL PASO_TX
Elko,Nevada,NV,408.387,-1.157.674,21179,442.0,America/Los_Angeles,ELKO_NV
Elmira,New York,NY,420.938,-768.097,62989,1440.0,America/New_York,ELMIRA_NY
Erie,Pennsylvania,PA,421.168,-800.733,184484,1926.0,America/New_York,ERIE_PA
Escanaba,Michigan,MI,457.477,-87.09,20094,368.0,America/Detroit,ESCANABA_MI
Eugene,Oregon,OR,440.563,-1.231.173,273439,1510.0,America/Los_Angeles,EUGENE_OR
Evansville,Indiana,IN,379.881,-875.341,230427,962.0,America/Chicago,EVANSVILLE_IN
Fairbanks,Alaska,AK,648.353,-1.476.534,63245,375.0,America/Anchorage,FAIRBANKS_AK
Fargo,North Dakota,ND,468.652,-968.292,208675,967.0,America/Chicago,FARGO_ND
Fayetteville,North Carolina,NC,350.846,-789.776,327435,552.0,America/New_York,FAYETTEVILLE_NC
Fayetteville/Springdale/Rogers,Arkansas,AR,36.2573,-94.161,250000,700.0,America/Chicago,FAYETTEVILLE/SPRINGDALE/ROGERS_AR
Flagstaff,Arizona,AZ,351.872,-1.116.195,81974,438.0,America/Phoenix,FLAGSTAFF_AZ
Flint,Michigan,MI,430.235,-836.922,332190,1103.0,America/Detroit,FLINT_MI
Fort Smith,Arkansas,AR,353.493,-943.695,125354,536.0,America/Chicago,FORT SMITH_AR
Fort Wayne,Indiana,IN,410.886,-851.437,334122,943.0,America/Indiana/Indianapolis,FORT WAYNE_IN
Frankfurt,Hesse,HE,501.109,86.821,753056,3000.0,Europe/Berlin,FRANKFURT_HE
Fresno,California,CA,367.831,-1.197.941,703498,1789.0,America/Los_Angeles,FRESNO_CA
Ft. Lauderdale,Florida,FL,26.1224,-80.1373,182000,1800.0,America/New_York,FT. LAUDERDALE_FL
Ft. Myers,Florida,FL,26.6406,-81.8723,87000,1000.0,America/New_York,FT. MYERS_FL
Gainesville,Florida,FL,296.804,-823.458,202335,820.0,America/New_York,GAINESVILLE_FL
Garden City,Kansas,KS,379.754,-1.008.529,29659,945.0,America/Chicago,GARDEN CITY_KS
Gillette,Wyoming,WY,442.752,-1.054.983,36032,538.0,America/Denver,GILLETTE_WY
Grand Forks,North Dakota,ND,479.218,-970.886,64748,784.0,America/Chicago,GRAND FORKS_ND
Grand Island,Nebraska,NE,409.214,-983.584,53296,665.0,America/Chicago,GRAND ISLAND_NE
Grand Junction,Colorado,CO,390.876,-1.085.673,139143,621.0,America/Denver,GRAND JUNCTION_CO
Grand Rapids,Michigan,MI,42.962,-856.562,609314,1734.0,America/Detroit,GRAND RAPIDS_MI
Great Falls,Montana,MT,475.022,-1.112.995,65131,982.0,America/Denver,GREAT FALLS_MT
Green Bay,Wisconsin,WI,44.515,-879.896,207557,887.0,America/Chicago,GREEN BAY_WI
Greensboro,North Carolina,NC,360.956,-798.269,343090,887.0,America/New_York,GREENSBORO_NC
Greer,South Carolina,SC,349.313,-822.315,33373,563.0,America/New_York,GREER_SC
Gulfport-Biloxi,Mississippi,MS,30.4073,-89.0701,110000,600.0,America/Chicago,GULFPORT-BILOXI_MS
Gunnison,Colorado,CO,385.455,-1.069.225,7195,612.0,America/Denver,GUNNISON_CO
Gustavus,Alaska,AK,584.275,-1.357.492,447,4.0,America/Juneau,GUSTAVUS_AK
Hailey,Idaho,ID,435.141,-114.3,11409,853.0,America/Boise,HAILEY_ID
Hancock,Michigan,MI,471.355,-885.987,4506,675.0,America/Detroit,HANCOCK_MI
Harlingen,Texas,TX,261.917,-976.976,136037,626.0,America/Chicago,HARLINGEN_TX
